,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
103,Breyner Zapata,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,Match Report
104,Breyner Zapata,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,CB,69,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,,Match Report
105,Breyner Zapata,Boyacá Patriot,2020-11-07,Sat,Primera A,First stage,Home,W 1–0,Boyacá Patriot,Pereira,Y,CB,78,0,0,0,0,0,0,2,1,4,0,0,0,1,2,0,,,Match Report
106,Breyner Zapata,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,N,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report
107,Israel Alba,Boyacá Patriot,2019-01-25,Fri,Primera A,Apertura Regular Season,Home,W 2–1,Boyacá Patriot,Independiente,Y,RB,90,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,,,Match Report
108,Israel Alba,Boyacá Patriot,2019-01-30,Wed,Primera A,Apertura Regular Season,Away,L 1–3,Boyacá Patriot,Junior,Y,RB,81,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,,,Match Report
109,Israel Alba,Boyacá Patriot,2019-02-03,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Boyacá Patriot,CD América,Y,RB,90,0,0,0,0,1,0,1,0,1,0,0,6,2,0,0,,,Match Report
110,Israel Alba,Boyacá Patriot,2019-02-10,Sun,Primera A,Apertura Regular Season,Away,L 1–2,Boyacá Patriot,Rionegro,N,,45,0,0,0,0,4,2,0,0,1,0,0,2,1,0,0,,,Match Report
111,Israel Alba,Boyacá Patriot,2019-02-17,Sun,Primera A,Apertura Regular Season,Home,D 1–1,Boyacá Patriot,Santa Fe,Y,RB,90,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,,,Match Report
112,Israel Alba,Boyacá Patriot,2019-02-23,Sat,Primera A,Apertura Regular Season,Away,D 0–0,Boyacá Patriot,Envigado,Y,RB,90,0,0,0,0,2,1,0,0,1,2,0,1,1,4,0,,,Match Report
113,Israel Alba,Boyacá Patriot,2019-02-27,Wed,Primera A,Apertura Regular Season,Home,W 1–0,Boyacá Patriot,Once Caldas,Y,RB,90,1,0,0,0,2,1,0,0,2,1,0,2,5,4,0,,,Match Report
114,Israel Alba,Boyacá Patriot,2019-03-02,Sat,Primera A,Apertura Regular Season,Away,W 1–0,Boyacá Patriot,CA Bucaramanga,Y,RB,90,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,,,Match Report
115,Israel Alba,Boyacá Patriot,2019-03-07,Thu,Primera A,Apertura Regular Season,Home,L 0–3,Boyacá Patriot,AD Cali,Y,RB,90,0,0,0,0,3,0,0,0,1,0,0,8,1,2,0,,,Match Report
116,Israel Alba,Boyacá Patriot,2019-03-10,Sun,Primera A,Apertura Regular Season,Home,W 2–1,Boyacá Patriot,Jaguares,Y,RB,90,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,,,Match Report
