,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
73,Jair Palacios,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,N,,32,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,Match Report
74,Jair Palacios,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,Y,RB,90,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,,,Match Report
75,Jair Palacios,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,Y,RB,90,0,0,0,0,0,0,1,0,2,2,0,2,4,1,0,,,Match Report
76,Jair Palacios,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,,,Match Report
77,Jair Palacios,CA Bucaramanga,2020-10-18,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,La Equidad,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Match Report
78,Jair Palacios,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,RB,90,0,0,0,0,0,0,1,0,1,0,0,6,2,1,0,,,Match Report
79,Jair Palacios,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,Y,RB,90,0,0,0,0,0,0,1,0,5,0,0,6,0,1,0,,,Match Report
80,Jair Palacios,CA Bucaramanga,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Independiente,Y,RB,90,0,0,0,0,1,0,0,0,1,4,0,1,4,1,0,,,Match Report
81,Jair Palacios,CA Bucaramanga,2020-11-14,Sat,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Santa Fe,Y,RB,90,0,0,0,0,0,0,0,0,1,2,0,1,2,4,0,,,Match Report
82,Jair Palacios,CA Bucaramanga,2020-11-26,Thu,Primera A,Liguilla,Home,W 3–2,CA Bucaramanga,Alianza,Y,RB,90,0,0,0,0,0,0,0,0,3,0,0,4,3,1,0,,,Match Report
83,Jair Palacios,CA Bucaramanga,2020-12-03,Thu,Primera A,Liguilla,Away,D 0–0,CA Bucaramanga,Jaguares,N,,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Match Report
84,Cristhian Subero,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y,AM,90,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,,,Match Report
85,Cristhian Subero,CA Bucaramanga,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y,RB,36,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,,,Match Report
